0s;0;0.0;0.0
1s;50000;6.41;0.0
2s;100000;9.37;0.0
3s;150000;11.63;0.0
4s;200000;13.52;0.0
5s;250000;15.19;1.0
6s;300000;16.79;4.0
7s;350000;18.56;4.0
8s;400000;20.04;4.0
9s;400000;21.34;4.0
10s;400000;20.12;6.0
11s;400000;19.53;7.0
12s;450000;19.12;7.0
13s;500000;18.74;9.0
14s;550000;21.14;9.0
15s;550000;22.88;11.0
16s;550000;22.21;12.0
17s;550000;21.89;13.0
18s;550000;21.74;13.0
19s;550000;21.57;11.0
20s;550000;21.15;12.0
21s;550000;20.94;9.0
22s;550000;20.34;10.0
23s;550000;20.01;9.0
24s;550000;19.56;7.0
25s;600000;18.94;7.0
26s;650000;18.42;7.0
27s;700000;20.57;7.0
28s;700000;22.15;5.0
29s;700000;20.83;4.0
30s;700000;19.82;4.0
31s;750000;19.01;4.0
32s;800000;18.31;2.0
33s;850000;20.03;5.0
34s;850000;21.64;5.0
35s;850000;20.5;5.0
36s;850000;19.71;4.0
37s;900000;18.93;4.0
38s;950000;18.26;5.0
39s;1000000;20.35;6.0
40s;1000000;21.97;5.0
41s;1000000;20.76;5.0
42s;1000000;19.93;7.0
43s;1050000;19.5;5.0
44s;1100000;18.83;9.0
45s;1150000;21.28;9.0
46s;1150000;23.01;11.0
47s;1150000;22.33;12.0
48s;1150000;22.01;9.0
49s;1150000;21.36;8.0
50s;1150000;20.73;8.0
51s;1150000;20.19;8.0
52s;1150000;19.71;7.0
53s;1200000;19.15;8.0
54s;1250000;18.78;9.0
55s;1300000;21.12;12.0
56s;1300000;23.19;14.0
57s;1300000;22.74;15.0
58s;1300000;22.61;16.0
59s;1300000;22.64;15.0
60s;1300000;22.49;14.0
61s;1300000;22.25;16.0
62s;1300000;22.29;16.0
63s;1300000;22.28;18.0
64s;1300000;22.49;17.0
65s;1300000;22.49;17.0
66s;1300000;22.5;17.0
67s;1300000;22.5;16.0
68s;1300000;22.38;16.0
69s;1300000;22.29;16.0
70s;1300000;22.22;17.0
71s;1300000;22.27;19.0
72s;1300000;22.55;20.0
73s;1300000;22.85;21.0
74s;1300000;23.2;21.0
75s;1300000;23.47;25.0
76s;1300000;24.2;25.0
77s;1300000;24.73;25.0
78s;1300000;25.18;28.0
79s;1300000;25.94;28.0
80s;1300000;26.53;32.0
81s;1300000;27.54;32.0
82s;1300000;28.32;31.0
83s;1300000;28.87;30.0
84s;1300000;29.26;32.0
85s;1300000;29.89;34.0
86s;1300000;30.66;37.0
87s;1300000;31.67;37.0
88s;1300000;32.47;40.0
89s;1300000;33.54;38.0
90s;1300000;34.17;38.0
91s;1300000;34.77;36.0
92s;1300000;35.07;35.0
93s;1300000;35.28;32.0
94s;1300000;35.15;31.0
95s;1300000;35.02;28.0
96s;1300000;34.59;30.0
97s;1300000;34.57;34.0
98s;1300000;35.02;33.0
99s;1300000;35.2;32.0
100s;1300000;35.24;0.0
101s;1300000;31.34;0.0
102s;1300000;28.77;0.0
103s;1300000;26.67;0.0
104s;1300000;24.88;0.0
105s;1300000;23.33;1.0
106s;1300000;22.07;4.0
107s;1300000;21.29;4.0
108s;1300000;20.49;4.0
109s;1300000;19.74;4.0
110s;1350000;19.05;6.0
111s;1400000;18.63;7.0
112s;1450000;20.88;7.0
113s;1450000;22.5;9.0
114s;1450000;21.7;9.0
115s;1450000;21.15;11.0
116s;1450000;20.95;12.0
117s;1450000;20.82;13.0
118s;1450000;20.79;13.0
119s;1450000;20.7;11.0
120s;1450000;20.34;12.0
121s;1450000;20.19;9.0
122s;1450000;19.65;10.0
123s;1500000;19.37;9.0
124s;1550000;18.96;7.0
125s;1600000;20.96;7.0
126s;1600000;22.47;7.0
127s;1600000;21.35;7.0
128s;1600000;20.59;5.0
129s;1600000;19.73;4.0
130s;1650000;18.91;4.0
131s;1700000;18.19;4.0
132s;1750000;20.15;2.0
133s;1750000;21.32;5.0
134s;1750000;20.28;5.0
135s;1750000;19.52;5.0
136s;1800000;18.88;4.0
137s;1850000;18.2;4.0
138s;1900000;20.17;5.0
139s;1900000;21.71;6.0
140s;1900000;20.68;5.0
141s;1900000;19.84;5.0
142s;1950000;19.16;7.0
143s;2000000;18.8;5.0
144s;2050000;20.74;9.0
145s;2050000;22.64;9.0
146s;2050000;21.77;11.0
147s;2050000;21.45;12.0
148s;2050000;21.27;9.0
149s;2050000;20.7;8.0
150s;2050000;20.12;8.0
151s;2050000;19.64;8.0
152s;2100000;19.2;7.0
153s;2150000;18.67;8.0
154s;2200000;20.92;9.0
155s;2200000;22.68;12.0
156s;2200000;22.12;14.0
157s;2200000;22.01;15.0
158s;2200000;22.02;16.0
159s;2200000;22.11;15.0
160s;2200000;22.01;14.0
161s;2200000;21.8;16.0
162s;2200000;21.88;16.0
163s;2200000;21.9;18.0
164s;2200000;22.14;17.0
165s;2200000;22.17;17.0
166s;2200000;22.2;17.0
167s;2200000;22.22;16.0
168s;2200000;22.12;16.0
169s;2200000;22.05;16.0
170s;2200000;21.99;17.0
171s;2200000;22.07;19.0
172s;2200000;22.35;20.0
173s;2200000;22.67;21.0
174s;2200000;23.03;21.0
175s;2200000;23.32;25.0
176s;2200000;24.06;25.0
177s;2200000;24.6;25.0
178s;2200000;25.05;28.0
179s;2200000;25.82;28.0
180s;2200000;26.42;32.0
181s;2200000;27.44;32.0
182s;2200000;28.23;31.0
183s;2200000;28.79;30.0
184s;2200000;29.18;32.0
185s;2200000;29.82;34.0
186s;2200000;30.6;37.0
187s;2200000;31.6;37.0
188s;2200000;32.41;40.0
189s;2200000;33.49;38.0
190s;2200000;34.12;38.0
191s;2200000;34.72;36.0
192s;2200000;35.03;35.0
193s;2200000;35.24;32.0
194s;2200000;35.11;31.0
195s;2200000;34.99;28.0
196s;2200000;34.56;30.0
197s;2200000;34.54;34.0
198s;2200000;35.0;33.0
199s;2200000;35.18;32.0
200s;2200000;35.22;0.0
201s;2200000;31.32;0.0
202s;2200000;28.75;0.0
203s;2200000;26.65;0.0
204s;2200000;24.87;0.0
205s;2200000;23.31;1.0
206s;2200000;22.06;4.0
207s;2200000;21.28;4.0
208s;2200000;20.48;4.0
209s;2200000;19.73;4.0
210s;2250000;19.03;6.0
211s;2300000;18.61;7.0
212s;2350000;20.87;7.0
213s;2350000;22.49;9.0
214s;2350000;21.69;9.0
215s;2350000;21.14;11.0
216s;2350000;20.94;12.0
217s;2350000;20.82;13.0
218s;2350000;20.78;13.0
219s;2350000;20.69;11.0
220s;2350000;20.34;12.0
221s;2350000;20.18;9.0
222s;2350000;19.64;10.0
223s;2400000;19.36;9.0
224s;2450000;18.96;7.0
225s;2500000;20.96;7.0
226s;2500000;22.46;7.0
227s;2500000;21.34;7.0
228s;2500000;20.59;5.0
229s;2500000;19.73;4.0
230s;2550000;18.91;4.0
231s;2600000;18.19;4.0
232s;2650000;20.15;2.0
233s;2650000;21.32;5.0
234s;2650000;20.28;5.0
235s;2650000;19.52;5.0
236s;2700000;18.88;4.0
237s;2750000;18.2;4.0
238s;2800000;20.17;5.0
239s;2800000;21.71;6.0
240s;2800000;20.68;5.0
241s;2800000;19.84;5.0
242s;2850000;19.16;7.0
243s;2900000;18.8;5.0
244s;2950000;20.74;9.0
245s;2950000;22.64;9.0
246s;2950000;21.77;11.0
247s;2950000;21.45;12.0
248s;2950000;21.27;9.0
249s;2950000;20.7;8.0
250s;2950000;20.12;8.0
251s;2950000;19.64;8.0
252s;3000000;19.2;7.0
253s;3050000;18.67;8.0
254s;3100000;20.92;9.0
255s;3100000;22.68;12.0
256s;3100000;22.12;14.0
257s;3100000;22.01;15.0
258s;3100000;22.02;16.0
259s;3100000;22.11;15.0
260s;3100000;22.01;14.0
261s;3100000;21.8;16.0
262s;3100000;21.88;16.0
263s;3100000;21.9;18.0
264s;3100000;22.14;17.0
265s;3100000;22.17;17.0
266s;3100000;22.2;17.0
267s;3100000;22.22;16.0
268s;3100000;22.12;16.0
269s;3100000;22.05;16.0
270s;3100000;21.99;17.0
271s;3100000;22.07;19.0
272s;3100000;22.35;20.0
273s;3100000;22.67;21.0
274s;3100000;23.03;21.0
275s;3100000;23.32;25.0
276s;3100000;24.06;25.0
277s;3100000;24.6;25.0
278s;3100000;25.05;28.0
279s;3100000;25.82;28.0
280s;3100000;26.42;32.0
281s;3100000;27.44;32.0
282s;3100000;28.23;31.0
283s;3100000;28.79;30.0
284s;3100000;29.18;32.0
285s;3100000;29.82;34.0
286s;3100000;30.6;37.0
287s;3100000;31.6;37.0
288s;3100000;32.41;40.0
289s;3100000;33.49;38.0
290s;3100000;34.12;38.0
291s;3100000;34.72;36.0
292s;3100000;35.03;35.0
293s;3100000;35.24;32.0
294s;3100000;35.11;31.0
295s;3100000;34.99;28.0
296s;3100000;34.56;30.0
297s;3100000;34.54;34.0
298s;3100000;35.0;33.0
299s;3100000;35.18;32.0
300s;3100000;35.22;0.0
301s;3100000;31.32;0.0
302s;3100000;28.75;0.0
303s;3100000;26.65;0.0
304s;3100000;24.87;0.0
305s;3100000;23.31;1.0
306s;3100000;22.06;4.0
307s;3100000;21.28;4.0
308s;3100000;20.48;4.0
309s;3100000;19.73;4.0
310s;3150000;19.03;6.0
311s;3200000;18.61;7.0
312s;3250000;20.87;7.0
313s;3250000;22.49;9.0
314s;3250000;21.69;9.0
315s;3250000;21.14;11.0
316s;3250000;20.94;12.0
317s;3250000;20.82;13.0
318s;3250000;20.78;13.0
319s;3250000;20.69;11.0
320s;3250000;20.34;12.0
321s;3250000;20.18;9.0
