0s;0;0.0;0.0
1s;0;6.25;0.0
2s;0;0.0;0.0
3s;0;0.0;0.0
4s;0;0.0;0.0
5s;50000;6.25;1.0
6s;100000;6.37;4.0
7s;150000;9.62;4.0
1s;50000;10.0;4.0
2s;100000;14.05;4.0
3s;150000;15.83;6.0
1s;50000;11.88;7.0
2s;100000;19.35;7.0
3s;150000;20.84;9.0
4s;150000;22.39;9.0
1s;0;14.69;11.0
2s;50000;21.15;12.0
1s;0;17.5;13.0
1s;50000;18.44;13.0
1s;50000;18.44;11.0
1s;50000;16.56;12.0
1s;50000;17.5;9.0
1s;50000;14.69;10.0
2s;100000;26.57;9.0
3s;100000;27.4;7.0
4s;100000;25.81;7.0
5s;100000;24.72;7.0
6s;100000;23.81;7.0
7s;100000;23.0;5.0
