0s;0;0.0;0.0
1s;10000;6.17;0.0
2s;20000;2.33;0.0
3s;30000;3.31;0.0
4s;40000;4.23;0.0
5s;50000;5.11;1.0
6s;60000;6.1;4.0
7s;70000;7.43;4.0
8s;80000;8.48;4.0
9s;90000;9.41;4.0
10s;100000;10.25;6.0
11s;110000;11.32;7.0
12s;120000;12.32;7.0
13s;130000;13.17;9.0
14s;140000;14.22;9.0
15s;160000;16.18;11.0
16s;200000;19.42;12.0
17s;250000;21.81;13.0
18s;300000;23.69;13.0
19s;340000;25.48;11.0
20s;370000;25.29;12.0
21s;390000;24.87;9.0
22s;390000;23.66;10.0
23s;390000;21.02;9.0
24s;390000;25.22;7.0
25s;390000;24.29;7.0
26s;390000;23.49;7.0
27s;390000;22.76;7.0
28s;390000;22.09;5.0
29s;390000;21.22;4.0
30s;390000;20.37;4.0
31s;390000;19.62;4.0
