0s;0;0.0;0.0
1s;0;6.17;0.0
2s;0;6.17;0.0
3s;10000;6.17;0.0
4s;20000;7.27;0.0
5s;30000;8.24;1.0
6s;40000;9.28;4.0
7s;50000;10.61;4.0
8s;60000;11.74;4.0
9s;70000;12.77;4.0
10s;80000;13.71;6.0
11s;90000;14.8;7.0
12s;100000;15.86;7.0
13s;110000;16.78;9.0
14s;110000;17.84;9.0
15s;110000;17.9;11.0
16s;110000;18.17;12.0
17s;110000;18.41;13.0
18s;110000;18.64;13.0
19s;120000;18.76;11.0
20s;120000;19.52;12.0
21s;130000;19.46;9.0
22s;140000;19.95;10.0
23s;140000;20.59;9.0
24s;140000;20.23;7.0
25s;150000;19.71;7.0
26s;160000;20.16;7.0
27s;160000;20.54;7.0
28s;170000;20.11;5.0
29s;180000;19.86;4.0
30s;200000;19.97;4.0
31s;220000;20.49;4.0
32s;250000;20.94;2.0
33s;270000;21.48;5.0
34s;290000;21.51;5.0
35s;300000;21.44;5.0
36s;300000;20.93;4.0
37s;300000;20.0;4.0
38s;300000;19.25;5.0
